Process,Total project,Project using latest,Total Dockerfile,Dockerfile using latest,Number of changes pinned to latest,Number of changes latest to pinned,File not found or error,Repo not found
554,115,38,138,47,2,3,0,76
553,132,45,184,52,0,1,0,50
510,126,29,207,50,1,2,0,47
561,103,35,208,94,1,3,0,78
558,123,30,220,44,2,2,0,81
535,120,40,165,46,1,1,0,51
563,135,32,245,35,0,5,0,67
532,121,32,156,43,1,2,0,60
568,133,42,152,48,2,2,0,59
550,136,27,172,34,1,1,0,39
552,121,32,138,36,1,3,0,54
556,110,24,145,55,0,2,0,73
551,126,49,240,63,1,1,0,58
571,130,35,181,52,3,2,0,58
547,119,30,195,32,0,1,0,52
594,136,41,147,48,1,5,0,57
586,119,34,158,44,1,1,0,62
560,127,33,326,57,0,6,0,59
531,129,42,290,70,1,0,0,55
534,130,43,251,64,0,3,0,51
564,122,33,161,47,0,1,0,68
536,139,36,346,130,1,2,0,46
557,117,34,167,40,1,3,0,71
544,135,48,260,54,0,1,0,56
521,122,35,222,95,1,1,0,59
548,139,44,180,54,0,4,0,71
581,125,33,166,40,2,1,0,56
559,127,43,187,58,0,3,0,70
575,115,32,160,45,1,4,0,72
570,114,32,306,114,1,0,0,87
590,118,38,197,49,1,0,0,56
598,118,28,153,44,1,0,0,57
624,129,37,191,51,1,1,0,59
600,118,39,222,47,1,2,0,55
599,121,41,159,42,1,3,0,60
593,117,42,167,52,1,0,0,79
611,126,30,130,31,0,1,0,47
565,125,39,185,53,0,5,0,69
577,126,34,161,41,0,3,0,70
613,118,33,152,42,0,1,0,57
579,125,33,157,42,1,1,0,61
588,120,22,197,34,0,3,0,52
574,129,32,170,37,1,0,0,70
518,127,34,174,44,0,0,0,70
604,120,44,233,79,1,2,0,68
587,113,25,151,27,0,4,0,57
596,117,32,176,42,2,0,0,53
585,119,37,230,50,1,3,0,59
618,149,57,218,78,2,1,0,51
573,129,40,180,45,1,1,0,77
595,134,39,190,52,3,1,0,49
616,116,34,167,54,0,0,0,64
603,121,38,159,57,1,0,0,53
540,146,42,232,47,0,0,0,52
608,143,32,193,42,1,2,0,57
582,120,25,319,33,0,1,0,66
623,122,27,149,31,0,2,0,77
601,124,30,156,38,0,2,0,55
569,122,41,197,61,0,1,0,56
584,140,42,169,51,0,1,0,54
589,132,41,207,59,0,2,0,51
580,130,41,306,66,0,1,0,54
567,130,30,170,44,0,1,0,46
592,123,32,174,36,1,1,0,55
612,129,40,184,57,2,1,0,67
619,123,29,215,31,1,1,0,62
627,114,38,156,45,2,0,0,59
642,135,41,168,42,0,0,0,55
626,143,49,181,57,0,2,0,53
615,137,40,222,51,3,5,0,49
541,140,47,219,78,1,3,0,62
621,123,50,172,59,1,1,0,80
638,126,36,556,119,0,1,0,56
578,125,40,162,49,3,2,0,75
630,113,23,276,25,1,2,0,54
610,131,37,169,46,0,1,0,49
639,141,38,171,43,1,3,0,66
602,122,38,229,58,0,0,0,61
583,117,30,185,55,0,1,0,59
646,128,32,147,33,1,1,0,57
617,135,39,149,48,1,4,0,61
